9694901 | Rhizobium | drought | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
8184954 | Curtobacterium herbarum | drought | lettuce | In lettuce grown under drought conditions, Curtobacterium herbarum strain CAH5 increased shoot length, root length and wet biomass by 1.54, 1.23 and 3.84-fold, respectively, compared to control plants -REF-. | YES
11371581 | Bacillus endophyticus | drought tolerance | rice | Similarly, potted rice plants inoculated with Bacillus endophyticus PB3, Bacillus altitudinis PB46, and Bacillus megaterium PB50 exhibit significant drought tolerance, particularly with strain PB50, by upregulating genes such as LEA, SNAC1, HSP70, RAB16B, and bZIP23, along with increased osmolyte accumulation -REF-. | YES
8614786 | Rhodobacter sphaeroides | drought-stressed | bean | Similarly, root and shoot lengths, stem diameters, dry biomass, and chlorophyll contents of bean plants cultivated in drought-stressed soils were augmented following the application of the drought-tolerant PGPR strain Rhodobacter sphaeroides KE149 -REF-. | YES
10823023 | Bacillus cereus | drought stress | Triticum aestivum | MR D17 and Bacillus cereus NA D17, Glycine max L. Merrill treated with Pseudomonas simiae, and Triticum aestivum inoculated with Dietzia natronolimnaea and Bacillus subtilis LDR2 all showed substantial increases in dry weight in response to drought stress -REF-; -REF-; -REF-. | YES
9736644 | Pseudomonas | drought stress | wheat | For instance, Pseudomonas azotoformans-treated wheat plants demonstrated a 16% rise in relative water content when compared to untreated plants under drought stress -REF-. | YES
8614786 | Azotobacter chroococcum | water stress | Astragalus caraganae | Likewise, the seed germination efficiency of Astragalus caraganae grown under water stress was increased following the inoculation of drought-tolerant PGPR strains viz., Azospirillum lipoferum, Azotobacter chroococcum, Pseudomonas aeruginosa, and Bacillus cereus -REF-. | YES
9198640 | Periconia macrospinosa | salinity | tritordeum | For instance, Periconia macrospinosa has similar effects in its host plant to the ones here observed with Diaporthe in tritordeum and ryegrass under salinity: Festuca rubra inoculated with Periconia showed increased biomass and Na+ content, and decreased K+ content respect to uninoculated plants -REF-. | YES
8082249 | Trichoderma asperellum | drought-stressed | sugarcane | Trichoderma asperellum inoculation in sugarcane plants increased plant height non-stressed = 8.0%; drought-stressed = 7.6% and in 8.2% the leaf width in drought-stressed plants -REF-. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | At the end of experiment, tomato inoculated with Dermacoccus abyssi MT1.1T showed shoot length -REF-A and dry weight -REF-D significantly higher than non-inoculated tomato with salt stress. | YES
8003591 | Exiguobacterium aurantiacum | salt | wheat | -REF- where the salt tolerant wheat genotype Aas-11 responded positively to Bacillus pumilus and Exiguobacterium aurantiacum, whereas the salt sensitive wheat genotype Galaxy-13 responded better to Pseudomonas fluorescence. | YES
8066330 | Bacillus subtilis | drought stress | Wheat | Wheat seedling primed with ACCd-containing strain Bacillus subtilis LDR2 showed a diminished content in ACC and a better photosynthetic efficiency under drought stress -REF-. | YES
10255858 | Pseudomonas knackmussii | salt | Arabis thaliana | In this study, SOS1 was found to be up-regulated in Arabis thaliana plants inoculated with Pseudomonas knackmussii MLR6 grown under salt conditions. | YES
10275368 | Rhodopseudomonas palustris | salt stress | cucumber | Ge and Zhang -REF- showed that inoculation of cucumber seedlings with Rhodopseudomonas palustris G5 increased the soluble sugar content under salt stress 3% NaCl. | YES
7845453 | Enterobacter | drought | sorghum | Furthermore, -REF- showed that Enterobacter sp., Bacillus sp., and Rhizobium sp., isolated from Tripogonella spicata, were also able to improve some plant growth and gas exchange parameters in sorghum growing under drought conditions -REF-, -REF-. | YES
9919780 | Bacillus megaterium | salt stress | maize | Inoculation of Bacillus megaterium causes increased water conductance in maize grown under salt stress via increase in the expression of two plasma membrane aquaporin protein isoforms -REF-. | YES
9409098 | Streptomyces | drought | sorghum | In crops, the colonization of sorghum seedlings with Streptomyces isolates increased the root growth under drought, but no obvious stimulating effect was found in well-watered conditions -REF-. | YES
7118072 | Penicillium brevicompactum | salinity | lettuce | Discussion The two fungal endophytes originally isolated from Antarctic plants, Penicillium chrysogenum and Penicillium brevicompactum, had previously been found responsible for increasing yield under water shortage and salinity conditions in lettuce -REF-, -REF-. | YES
8714756 | Bacillus cereus | heat | soybean | Application of Bacillus cereus SA1 under high-temperature stress enhanced the defense system of soybean plants by increasing superoxide dismutase activity, ascorbic acid peroxidase and glutathione content, and expression of heat shock proteins GmLAX3 and GmAKT2, which have been linked to reduced detoxification of reactive oxygen species, increased potassium gradients, and altered auxin and ABA stimuli, and which are critical for plants under heat stress Khan et al., -REF-. | YES
9266936 | Planococcus rifietoensis | salt stress | chickpea | Under salt stress, the inoculation of Halomonas variabilis HT1 and Planococcus rifietoensis RT4 on chickpea Cicer arietinum stabilized the soil structure and soil aggregates, which improved the chickpea growth -REF-. | YES
9266936 | Halomonas variabilis | salt stress | Cicer arietinum | Under salt stress, the inoculation of Halomonas variabilis HT1 and Planococcus rifietoensis RT4 on chickpea Cicer arietinum stabilized the soil structure and soil aggregates, which improved the chickpea growth -REF-. | YES
9266936 | Halomonas variabilis | salt stress | chickpea | Under salt stress, the inoculation of Halomonas variabilis HT1 and Planococcus rifietoensis RT4 on chickpea Cicer arietinum stabilized the soil structure and soil aggregates, which improved the chickpea growth -REF-. | YES
9581713 | Pseudomonas | drought-stressed | maize | In the present study, leaf area increased under drought-stressed and well-watered conditions, which may be linked to P uptake triggered by Pseudomonas or Pantoea inoculation, as reported for maize Chaudhary et al., 2022. | YES
8082249 | Trichoderma asperellum | drought stress | sugarcane | In fact, we discovered that the chlorophyll concentration increased in sugarcane plants inoculated with Trichoderma asperellum whether or not subjected to drought stress. | YES
9266936 | Planococcus rifietoensis | salt stress | Cicer arietinum | Under salt stress, the inoculation of Halomonas variabilis HT1 and Planococcus rifietoensis RT4 on chickpea Cicer arietinum stabilized the soil structure and soil aggregates, which improved the chickpea growth -REF-. | YES
11171787 | Stutzerimonas stutzeri | osmotic stress | Medicago sativa | A research has shown that the strains Stutzerimonas stutzeri A38 and Bacillus pumilus A49 have the ability to enhance root size in Medicago sativa and Medicago polymorpha plants when exposed to osmotic stress -REF-. | YES
8230635 | Bacillus thuringiensis | drought stress | Lavandula | Inoculation of Lavandula dentate with Bacillus thuringiensis under drought stress led to increased nutrient uptake and enhanced metabolic activity in the plants -REF-. | YES
9704420 | Buchnera | water deficit | Solanum tuberosum | -REF- investigated the proteome of the aphid Macrosiphum euphorbiae rearing on potato Solanum tuberosum plants exposed to water deficit and defoliation by the beetle Leptinotarsa decemlineata and found enhanced levels of aphid proteins involved in cell communication, energy metabolism, and GroEL symbionin of the endosymbiont Buchnera aphidicola with chaperone function. | YES
9205400 | Periconia macrospinosa | salinity | barley | In the current investigation, we observed a striking increase of leaf proline content in barley plant inoculated with Periconia macrospinosa under all levels of salinity and drought stress -REF-. | YES
8472176 | Pseudomonas fluorescens | drought stress | Garden pea | Garden pea inoculated with the ACC deaminase producer Pseudomonas fluorescens resulted in longer roots, and thus increased water uptake, under drought stress -REF-. | YES
9266936 | Pantoea agglomerans | salt stress | Zea mays | The gene expression analysis of maize Zea mays roots inoculated with Bacillus megaterium and Pantoea agglomerans revealed that the upregulation of ZmPIP2 and ZmPIP1-1 resulted in increased water uptake under salt stress conditions -REF-. | YES
7550623 | Pseudomonas chlororaphis | saline conditions | wheat | Importantly, all Pseudomonas chlororaphis derivatives enabled the salt inhibited wheat varieties studied to maintain above ground productivity in saline conditions. | YES
8775878 | Pseudomonas fluorescens | drought-stressed | rice | A real-time qPCR analysis showed that six genes known to be related to plants’ stress tolerance COX1, PKDP, bZIP1, AP2-EREBP, Hsp20, and COC1 were up-regulated in drought-stressed rice plants after inoculation with Pseudomonas fluorescens -REF-. | YES
8828500 | Burkholderia phytofirmans | cold | Vitis vinifera | Epichloe gansuensis increased the biosynthesis of alkaloids and unsaturated fatty acids during the seed germination of Achnatherum inebrians, thereby increasing tolerance to cold stress -REF-, while Burkholderia phytofirmans induced the upregulation of some cold stress-related genes by Vitis vinifera -REF-. | YES
9608499 | Bacillus | Salt | Wheat | ROS Reduction in Wheat Roots by Bacillus Strains under Salt Conditions The halophilic strain NMCN1 was observed to highly alleviate ROS production in wheat roots grown under the high salt condition as compared to FZB42. | YES
11128568 | Bacillus subtilis | salt stress | pea | For instance, bacterial endophyte Bacillus subtilis induces plant growth by promoting plant growth hormones abscisic acid ABA and indole acetic acid IAA, resulting in enhanced root and shoot mass in pea plants under salt stress. | YES
10308577 | Phyllobacterium brassicacearum | salt stress | tomato | -REF- In addition to promoting tomato plant development in the absence of stress conditions, the endophytes Phyllobacterium brassicacearum exhibit YsS6 and Pseudomonas migulae 8R6, both of which display ACC deaminase activity, and also caused biomass accumulation to be considerably colder, drier, and higher in chlorophyll and more blooms and shoots in tomato vegetation grown under treated under salt stress conditions. | YES
10691024 | Actinobacteria | drought | Sorghum bicolor | This was further exemplified in an inoculation assay, in which the root colonization of the Actinobacteria genus Streptomyces was consistent with increased root growth of Sorghum bicolor under drought -REF-. | YES
10145286 | Aspergillus welwitschiae | salt stress | maize | The endophyte Aspergillus welwitschiae inoculation has increased the endogenous IAA levels in maize plants in normal growth conditions as well as under salt stress. | YES
9198640 | Periconia | salinity | Festuca rubra | For instance, Periconia macrospinosa has similar effects in its host plant to the ones here observed with Diaporthe in tritordeum and ryegrass under salinity: Festuca rubra inoculated with Periconia showed increased biomass and Na+ content, and decreased K+ content respect to uninoculated plants -REF-. | YES
9205400 | Periconia macrospinosa | salinity | barley | Conclusion In the present study, three halotolerant endophytic fungal species, Periconia macrospinosa, N. goegapense, and N. chichastianum, increased several physiological and biochemical markers, including plant growth parameters, chlorophyll concentrations, antioxidant enzymes activity, and proline content in barley plants exposed to salinity and drought stress. | YES
9266936 | Pantoea agglomerans | salt stress | maize | The gene expression analysis of maize Zea mays roots inoculated with Bacillus megaterium and Pantoea agglomerans revealed that the upregulation of ZmPIP2 and ZmPIP1-1 resulted in increased water uptake under salt stress conditions -REF-. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | These results suggested that photosynthesis of tomato seedlings was improved by the inoculation of Dermacoccus abyssi MT1.1T due to the reduction in H2O2 induced under salt stress. | YES
10484105 | Rhizobium | drought tolerance | beans | We suggest that Rhizobium strain ‘QHCD11’ may be further developed into a useful inoculant for improving the drought tolerance of faba beans. | YES
9693749 | Paraconiothyrium | drought stress | pea | The study on Paraconiothyrium SMCD 2210 highlights endosymbiotic plant growth promotion and alleviation of abiotic stress and ROS accumulation in germinating pea and chickpea seeds in plants grown under drought stress conditions, and so in addition to down-regulation of proline gene expression -REF-, -REF-. | YES
9923114 | Bacillus subtilis | salt | wheat | Engineering of Entamoeba coli cold shock protein CspA and CspB genes to convert it into plant-preferred codon namely SeCspA and SeCspB resulted in better stress tolerance potential by lowering MDA content, preventing water loss, reduced Na+ level and higher levels of chlorophyll, proline content under drought and salt stresses 200 mM NaCl compared to the control wheat plants -REF-, similar response was evoked by endophytic strain Bacillus subtilis in wheat wherein lower MDA level was observed in plants grown under 340 mM NaCl compared to control counter parts -REF-. | YES
9198640 | Periconia macrospinosa | salinity | Festuca rubra | For instance, Periconia macrospinosa has similar effects in its host plant to the ones here observed with Diaporthe in tritordeum and ryegrass under salinity: Festuca rubra inoculated with Periconia showed increased biomass and Na+ content, and decreased K+ content respect to uninoculated plants -REF-. | YES
10255858 | Bacillus atrophaeus | salt stress | Zea mays | The inoculation of Zea mays with two strains, Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02, induces better responses under salt stress, significantly increasing K+ and decreasing Na+ content, leading to a rise in the K+/Na+ ratio. | YES
10255858 | Planococcus soli | salt stress | Zea mays | The inoculation of Zea mays with two strains, Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02, induces better responses under salt stress, significantly increasing K+ and decreasing Na+ content, leading to a rise in the K+/Na+ ratio. | YES
9923114 | Azospirillum brasilense | drought stress | wheat | Similar observation was made by -REF- wherein antioxidant enzyme namely SOD, CAT and POX increased upon treating wheat with Bacillus sp., Azospirillum lipoferum and Azospirillum brasilense and subjected to drought stress by withholding water to 40% field capacity. | YES
9923114 | Bacillus | drought stress | wheat | Similar observation was made by -REF- wherein antioxidant enzyme namely SOD, CAT and POX increased upon treating wheat with Bacillus sp., Azospirillum lipoferum and Azospirillum brasilense and subjected to drought stress by withholding water to 40% field capacity. | YES
9923114 | Azospirillum lipoferum | drought stress | wheat | Similar observation was made by -REF- wherein antioxidant enzyme namely SOD, CAT and POX increased upon treating wheat with Bacillus sp., Azospirillum lipoferum and Azospirillum brasilense and subjected to drought stress by withholding water to 40% field capacity. | YES
8614786 | Leclercia adecarboxylata | water stress | maize | A similar increase in the formation of photosynthetic pigments in maize plants raised at various levels of water stress was observed after inoculating drought-tolerant PGPR strains, namely, Pseudomonas aeruginosa, Enterobacter cloacae, and Leclercia adecarboxylata -REF-. | YES
10326438 | Pseudomonas | salt stress | cucumber | The effect of the ACC deaminase produced by Pseudomonas strains on plants under stress conditions has been demonstrated in several plant species using reverse genetics approaches, especially in canola, cucumber, and tomato under salt stress, and in tomato under flooding stress -REF-. | YES
9309559 | Escherichia coli | saline stress | wheat | Siderophore-producing microbes, namely gram-negative bacteria Escherichia coli, secretes secondary metabolites such as siderophores that enhance iron uptake and plant growth performances under iron stress conditions Neilands, -REF-, and gram-negative bacterial genus Streptomyces acts as a biofertilizer that enhances the plant nutrients Fe, P, and N, significantly increasing the germination rate, shoot length, and dry weight of wheat plant under saline stress condition Sadeghi et al., -REF-; Upadhyay et al., -REF-. | YES
10534068 | Nocardioides | salinity | wheat | In this study, the inoculated plants displayed a higher activity of antioxidant enzymes at all salinity levels compared to the uninoculated control plants indicating the positive influence of Nocardioides inoculation on enzymatic antioxidant system in wheat. | YES
10381829 | Trichoderma longibrachiatum | drought stress | Pinus massoniana | Trichoderma longibrachiatum enhanced Pinus massoniana seedling growth under drought stress by regulating physiological responses and soil microbial community. | YES
11104533 | Penicillium chrysogenum | salt-stressed | tomato | Similarly, inoculation of Penicillium chrysogenum isolated from a plant growing in a salt-stressed environment into tomato seedlings and exposed to 300 mM NaCl resulted in plants that were healthier than uninoculated plants throughout the salinity exposure period Morsy et al. | YES
9581713 | Pseudomonas | drought-stressed | maize | In the present study, leaf area increased under drought-stressed and well-watered conditions, which may be linked to P uptake triggered by Pseudomonas or Pantoea inoculation, as reported for maize Chaudhary et al., 2022. | YES
8472176 | Pseudomonas fluorescens | salinity | Sunflower | Sunflower inoculated with Pseudomonas fluorescens CECT 378T under 100 mM NaCl salinity also increased the K+/Na+ ratio in the shoot, which supported the accumulation of plant biomass -REF-. | YES
8071382 | Funneliformis mosseae | low temperature | wheat | Funneliformis mosseae could enhance chlorophyll concentration of tomato leaves at low temperature, which was in agreement with the results of wheat and maize under cold stress by Paradis et al. | YES
8891170 | Aspergillus terreus | salt stress | maize | The current findings suggest that the biosynthetic enzymes of the chlorophyll pathway could be more active and functional in rice and maize plants, which were inoculated with Aspergillus terreus against salt stress -REF-. | YES
9415082 | Burkholderia phytofirmans PsJN | cold-stressed | grapevine | The same bacteria, Burkholderia phytofirmans PsJN, when inoculated with cold-stressed grapevine Vitis vinifera, lowered biomass reduction and electrolyte leakage from membranes -REF-. | YES
10671349 | Pseudomonas mandelii | drought stress | Helianthemum almeriense | During drought stress, Pseudomonas mandelii #29 shows promise in enhancing the uptake of nutrients and the establishment of fungal partnerships within the Mediterranean shrub Helianthemum almeriense -REF-. | YES
9121094 | Planococcus soli | salt stress | maize | In the current study, inoculation with Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 significantly increased the activity of enzymatic antioxidants SOD, CAT, POD, APX, and GR and the content of the non-enzymatic antioxidant GSH in maize under salt stress -REF-. | YES
10785826 | Azospirillum | salt stress | rice | In this study, we observed several genes encoding ACC e.g., LOC_Os09g27750, LOC_Os04g10350, LOC_Os08g30210, LOC_Os05g05680 differentially expressed in rice exposed to salt stress only but not expressed in Azospirillum brasilense-treated rice plants. | YES
9518148 | Priestia aryabhattai | salinity | wheat | The anti-oxidative response of wheat seedlings decreased with increasing levels of salt however, inoculation of endophytic Priestia aryabhattai BPR-9 strain displayed stronger antioxidant enzymatic activity under salinity pressures than did non-inoculated plants. | YES
8472176 | Pseudomonas | salinity | maize | Rhizobium and Pseudomonas lead to lack of Na+ accumulation in maize salinity affected -REF-. | YES
9030523 | Pseudomonas fluorescens | drought stress | rice | 2020 found that Pseudomonas fluorescens could minimize ROS concentrations in rice plants under drought stress and subsequently bolster plant biomass -REF-. | YES
10823023 | Dietzia natronolimnaea | drought stress | Triticum aestivum | MR D17 and Bacillus cereus NA D17, Glycine max L. Merrill treated with Pseudomonas simiae, and Triticum aestivum inoculated with Dietzia natronolimnaea and Bacillus subtilis LDR2 all showed substantial increases in dry weight in response to drought stress -REF-; -REF-; -REF-. | YES
9581713 | Pantoea | drought-stressed | maize | In the present study, leaf area increased under drought-stressed and well-watered conditions, which may be linked to P uptake triggered by Pseudomonas or Pantoea inoculation, as reported for maize Chaudhary et al., 2022. | YES
11171787 | Bacillus pumilus | osmotic stress | Medicago polymorpha | A research has shown that the strains Stutzerimonas stutzeri A38 and Bacillus pumilus A49 have the ability to enhance root size in Medicago sativa and Medicago polymorpha plants when exposed to osmotic stress -REF-. | YES
9390090 | Trichoderma | drought | rapeseed | Similarly, Indian mustard and rapeseed plants root-colonized by Trichoderma responded to salinity and drought by increasing their antioxidant activity -REF-. | YES
8614786 | Cupriavidus necator | water deficit | Zea mays | In a similar study, improved root growth and enhanced nutrient use efficiency by Zea mays plants grown in soil inoculated with drought-tolerant Pseudomonas fluorescens S3X or Cupriavidus necator 1C2 under water deficit conditions has been reported -REF-. | YES
10975020 | Rhodomonas | drought stress | Zea mays | In Zea mays, plants inoculated with Rhodomonas irregularis showed an increase in the expression of the AQP genes ZmPIP1;1, ZmPIP1;2, and ZmPIP2;1 under drought stress -REF-. | YES
9598349 | Bacillus | salt stress | soybean | The activities of POD, GST, and GPX were increased in a concentration-dependent manner in soybean under salt stress, indicating ROS detoxification; however, the Bacillus accelerated the antioxidant enzyme activities under different abiotic stress -REF-, -REF-, -REF-, -REF-. | YES
9495777 | Acinetobacter calcoaceticus | drought-stressed | Sambucus williamsii | -REF- demonstrated the 11.6% enhancement in stomatal conductance, 13% elevation of photosynthetic rate, and the reversal process of chlorophyll degradation when the drought-stressed Sambucus williamsii plants were inoculated with cytokinin producing Acinetobacter calcoaceticus strain. | YES
11171787 | Bacillus pumilus | osmotic stress | Medicago sativa | A research has shown that the strains Stutzerimonas stutzeri A38 and Bacillus pumilus A49 have the ability to enhance root size in Medicago sativa and Medicago polymorpha plants when exposed to osmotic stress -REF-. | YES
7155768 | Bacillus licheniformis | drought stress | maize | Conclusion Bacillus licheniformis FMCH001 applied as a seed coating to maize enhances plant WUE by producing more biomass particularly root which might be due to upregulation of antioxidative enzyme CAT under both well-watered and drought stress conditions. | YES
10534068 | Nocardioides | saline conditions | wheat | The Nocardioides inoculated wheat plants performed well under saline conditions compared to uninoculated plants and exhibited lower shoot:root S:R ratio 1.52 ± 0.14 for treated plants against 1.84 ± 0.08 for untreated plants at salinity level of 15 dS m−1 and also showed improved biomass at 5 dS m−1 and 10 dS m−1. | YES
8234610 | Rhizophagus irregularis | cold stress | Digitaria eriantha | -REF- showed an increase in antioxidants in the shoots and roots of Digitaria eriantha and a reduction in cellular lipid peroxidation in plants inoculated with the arbuscular mycorrhizal fungus Rhizophagus irregularis under cold stress 4 °C. | YES
8398416 | Trichoderma harzianum | salinity | tomato | and Trichoderma harzianum inoculation into tomato seedlings under salinity and drought stress conditions resulted in maintenance of photosynthetic efficiency and effectively reduced ROS accumulation. | YES
8614786 | Azospirillum lipoferum | water stress | Astragalus caraganae | Likewise, the seed germination efficiency of Astragalus caraganae grown under water stress was increased following the inoculation of drought-tolerant PGPR strains viz., Azospirillum lipoferum, Azotobacter chroococcum, Pseudomonas aeruginosa, and Bacillus cereus -REF-. | YES
7118072 | Penicillium chrysogenum | salinity | lettuce | Discussion The two fungal endophytes originally isolated from Antarctic plants, Penicillium chrysogenum and Penicillium brevicompactum, had previously been found responsible for increasing yield under water shortage and salinity conditions in lettuce -REF-, -REF-. | YES
11371581 | Pseudomonas aeruginosa | drought | maize | -REF- found that inoculating maize seeds with EPS-producing bacterial strains Alcaligenes faecalis, Pseudomonas aeruginosa, and Proteus penneri increases soil moisture and relative water contents, shoot and root length, leaf area, and plant biomass under drought conditions. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | Inoculation of tomato seedlings by Dermacoccus abyssi MT1.1T increased shoot length and dry weight compared to non-inoculated tomato under salt stress. | YES
6780275 | Bacillus | cold stress | wheat | Pseudomonas and Bacillus strains are well documented to have positive effect on vigor index and root morphological parameters of seedlings and young plants -REF-, -REF- but in present study we report significant improvement in vigor index and root morphological parameters of wheat seedlings as well as wheat plants under cold stress by the inoculation of psychrophilic Bacillus CJCL2 and RJGP41. | YES
11171787 | Stutzerimonas stutzeri | osmotic stress | Medicago polymorpha | A research has shown that the strains Stutzerimonas stutzeri A38 and Bacillus pumilus A49 have the ability to enhance root size in Medicago sativa and Medicago polymorpha plants when exposed to osmotic stress -REF-. | YES
9608499 | Bacillus | saline conditions | wheat | The expression of salt stress-related genes in wheat plants inoculated with Bacillus strains was observed to be significantly stimulated under saline conditions, i.e., 200 mmol NaCl. | YES
9608499 | Bacillus | salt | wheat | The expression of salt stress-related genes in wheat plants inoculated with Bacillus strains was observed to be significantly stimulated under saline conditions, i.e., 200 mmol NaCl. | YES
8614786 | Enterobacter cloacae | water stress | maize | A similar increase in the formation of photosynthetic pigments in maize plants raised at various levels of water stress was observed after inoculating drought-tolerant PGPR strains, namely, Pseudomonas aeruginosa, Enterobacter cloacae, and Leclercia adecarboxylata -REF-. | YES
8472176 | Microbacterium oleivorans | salinity | Pepper | Pepper inoculated with IAA-producing bacteria Microbacterium oleivorans KNUC7074, Brevibacterium iodinum KNUC7183, and Rhizobium massiliae KNUC7586 increased chlorophyll concentration, as well as leaf water content under 200 mM NaCl salinity -REF-. | YES
10819047 | Funneliformis mosseae | salinity stress | Zelkova serrata | Similarly, an inoculation of Zelkova serrata with Funneliformis mosseae increases the photosynthetic rate and leaf P, K, and magnesium Mg content under salinity stress conditions -REF-. | YES
10381829 | Trichoderma longibrachiatum | drought stress | Pinus massoniana | In the present study, Trichoderma longibrachiatum successfully colonized the roots of Pinus massoniana under drought stress and reduced the water loss rate of the seedlings. | YES
9610570 | Bacillus pumilus | salt-stressed | rice | -REF- also reported that Bacillus pumilus improved grain weight in salt-stressed rice. | YES
10381829 | Burkholderia phytofirmans PsJN | drought stress | maize | -REF- observed that Burkholderia phytofirmans PsJN increases maize biomass, leaf area, and RWC under drought stress while regulating cellular homeostasis and ROS detoxification at the transcription level -REF-. | YES
8066330 | Pseudomonas | drought | wheat | Inoculation of auxin-producing rhizobacteria of genus Bacillus, Enterobacter, Moraxella and Pseudomonas lead to significant improvement of shoot length, spike length and grain weight in wheat under drought conditions at 10% field capacity. | YES
7308537 | Herbaspirillum seropedicae | water stress | maize | Although Herbaspirillum seropedicae has been shown to increase the plant size of maize under water stress -REF-, to our knowledge, we are the first to document Herbaspirillum robiniae as a PGPR under water stressed conditions. | YES
10381829 | Trichoderma longibrachiatum | drought stress | Pinus massoniana | Soil nutrient contents, activities of sucrase, phosphatase, and urease as well as the relative abundances of the dominant genera Burkholderia, Rhodanobacter, and Trichoderma were elevated in the rhizosphere soil of Pinus massoniana inoculated with Trichoderma longibrachiatum under drought stress. | YES
8781547 | Pseudomonas fluorescens | saline stress | Triticum aestivum | It has been described that when a variety of Triticum aestivum susceptible to salinity was grown under saline stress and inoculated with Pseudomonas fluorescens, several crop yield parameters were improved: number of spikes 76.6%, length of spikes 85.9%, and weight of 100 grains 32.9% -REF-. | YES
9205400 | Periconia macrospinosa | drought stress | barley | The current results show that halotolerant endophytic fungal species Periconia macrospinosa improved the antioxidant enzyme activity in barley under all levels of salinity and drought stress -REF-– -REF-. | YES
8071382 | Funneliformis mosseae | low temperature | tomato | Funneliformis mosseae could enhance chlorophyll concentration of tomato leaves at low temperature, which was in agreement with the results of wheat and maize under cold stress by Paradis et al. | YES
9581713 | Pantoea | drought | barley | Higher root production under drought suggests that barley seeds benefit from soil microbe/plant interactions with Pseudomonas and Pantoea endophytes to access optimum water and nutrient which is critical for biomass production -REF-; -REF-. | YES
8708585 | Bacillus | drought | wheat | It has also been demonstrated that Bacillus leads to changes in the balance of ROS and the activity of antioxidant enzymes in wheat under drought -REF-, -REF-, which plays an important role in the manifestation of pre-adaptive and anti-stress action of this bacterium on plants -REF-, -REF-, -REF-. | YES
8472176 | Pseudomonas putida | drought | Soybean | Soybean inoculated Pseudomonas putida H-2-3, compared to the control under drought conditions, exhibited slightly better chlorophyll content 1.2%, but primarily a greater shoot length 13.6% and plant fresh weight 12.8% -REF-. | YES
6930159 | Bacillus | salt stress | Jatropha | Some ST-PGPR such as Enterobacter clocae, Pseudomonas pseudoalcaligenes and Bacillus sp., increased levels of APX and CAT in Jatropha leaves in response to salt stress and also stimulated the roots, increased biomass, N, phosphorus P, potassium K uptake and chlorophyll content in the vegetative parts of the plant -REF-. | YES
8229731 | Azospirillum baldaniorum | drought | Arabidopsis | This is consistent with -REF-, in which the highest levels of anthocyanins in Arabidopsis were induced by the combination of drought plus inoculation with Azospirillum baldaniorum Sp245, suggesting a synergistic interaction between the PGPR and drought in increasing anthocyanins. | YES
10381829 | Trichoderma | drought stress | Pinus massoniana | Soil nutrient contents, activities of sucrase, phosphatase, and urease as well as the relative abundances of the dominant genera Burkholderia, Rhodanobacter, and Trichoderma were elevated in the rhizosphere soil of Pinus massoniana inoculated with Trichoderma longibrachiatum under drought stress. | YES
7688926 | Bacillus amyloliquefaciens SQR9 | salt stress | maize | For example, inoculation of Bacillus amyloliquefaciens SQR9 enhanced the TSS contents of maize under salt stress condition compared with the non-inoculated control plants -REF-. | YES
8234610 | Enterobacter | saline conditions | tomato | -REF- reported an increase in the activity of ascorbate peroxidases APX in Enterobacter inoculated tomato seedlings grown under high saline conditions. | YES
8071382 | Rhizophagus intraradices | drought stress | Tomato | Tomato root transcriptome analysis revealed that cytochrome P450 genes were mainly up-regulated in Rhizophagus intraradices under drought stress -REF-. | YES
6987256 | Pantoea alhagi | salt stress | rice | In the present study, we found that rice seedlings that had been inoculated with Pantoea alhagi NX-11 exhibited significantly higher activities of the antioxidant enzymes SOD, POD, and CAT than uninoculated seedlings on the 7th day after salt stress treatment, even though the antioxidant enzyme activities of seedlings in the NaCl group were much higher than those of seedlings growing under normal conditions -REF-. | YES
11157439 | Dietzia natronolimnaea | salt | wheat | When Dietzia natronolimnaea was inoculated into wheat Triticum aestivum, it was observed that the ABA-signaling cascade genes, ion transporters, salt overly sensitive SOS pathway, and antioxidant enzymes upregulated -REF- Figure 1 . | YES
8869415 | Bacillus cereus | salt | mungbean | Inoculation of Bacillus cereus Pb25 reduced H2O2 and superoxide dismutase SOD in salt stressed mungbean leaves corresponded to an increase in catalase CAT and peroxidase POD activities in leaves -REF-. | YES
9309559 | Proteus mirabilis | drought | Zea mays | TCR05 and Proteus mirabilis TCR20 reduce the Cr toxicity from CrVI to CrIII and enhanced plant pigments, protein, phenolics, and relative water content, while proline, lipid peroxidation, and superoxide dismutase decreased in Zea mays under heavy metal contaminated and drought conditions. | YES
8467090 | Enterobacter | salt | Arabidopsis thaliana | As an example, the Enterobacter species up-regulated the expression of salt stress-responsive genes related to proline biosynthesis in Arabidopsis thaliana -REF-. | YES
