9694901 | Rhizobium | Heat | Phaseolus vulgaris | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
7555750 | Methylobacterium oryzae | Drought | Lens culinaris | Inoculation of Methylobacterium oryzae into lentil results in significant improvement in the growth performance of plants exposed to drought, including early seedling growth, and improvement of the harvest index -REF-. | YES
7308537 | Achromobacter piechaudii | Drought | Solanum lycopersicum | In addition, the treatment of tomato and pepper plants with ACC-deaminase producing Achromobacter piechaudii stimulates plant growth during water stress, contributing to larger plant size -REF-. | YES
10652019 | Streptomyces iranensis | Salt | Hordeum vulgare | Here, we report that Streptomyces iranensis HM 35 has profound beneficial effects on helping barley alleviate osmotic, drought and salinity stress. | YES
9390090 | Trichoderma | Salt | Indian mustard | Similarly, Indian mustard and rapeseed plants root-colonized by Trichoderma responded to salinity and drought by increasing their antioxidant activity -REF-. | YES
10765411 | Pseudomonas | Drought | Nicotiana tabacum | We observed that abundant genes from bacterial lineages, particularly Pseudomonas, within the cigar tobacco phyllospheric microbiome contribute to resilience against osmotic and drought stress, heavy metal toxicity, temperature perturbation, organic pollutants, oxidative stress resistance, and UV light damage. | YES
8840115 | Kocuria rhizophila | Salt | Triticum aestivum | Furthermore, treatment with two plant growth-promoting bacteria that produce ACC deaminase Kocuria rhizophila 14ASP alleviated the adverse effects of salt stress in wheat plants -REF-, -REF-. | YES
8072474 | Trichoderma | Drought | Triticum aestivum | Inoculation of wheat with Trichoderma enhances drought tolerance through induced changes in stomatal conductance, net photosynthesis, and chlorophyll fluorescence. | YES
7308537 | Herbaspirillum robiniae | Drought | Zea mays | Although Herbaspirillum seropedicae has been shown to increase the plant size of maize under water stress -REF-, to our knowledge, we are the first to document Herbaspirillum robiniae as a PGPR under water stressed conditions. | YES
9205400 | Periconia macrospinosa | Drought | Hordeum vulgare | Here, under salinity and drought stress, barley plants associated with Periconia macrospinosa, N. goegapense, and N. chichastianum indicated more chlorophyll concentration than endophyte-free controls -REF-, -REF-, suggesting that fungal endophytes have increased barley plants’ tolerance to salinity and drought stress. | YES
9121094 | Pseudomonas | Salt | Capsicum annuum | -REF- indicated that Pseudomonas SCPG-7 inoculated from pepper Capsicum annuum L. seeds had the ability to promote plant growth by secreting organic acids, alkaline phosphatase, siderophore, and IAA under salt stress in Shihezi, Xinjiang Province. | YES
8472176 | Achromobacter piechaudii | Drought | Pepper | Other plants, such as tomato and pepper, inoculated with ACC deaminase producing Achromobacter piechaudii ARV8, showed beneficial impacts, such as increased growth, particularly fresh and dry weights, under drought stress -REF-. | YES
11284086 | Pantoea agglomerans | Salt | Zea mays | For instance, in maize, application of Pantoea agglomerans or B. megaterium upregulated aquaporin genes, improving root hydraulic conductivity and salinity tolerance -REF-; -REF-. | YES
8840115 | Bacillus subtilis | Salt | Trifolium repens | Bacillus subtilis mitigates salinity stress in white clover -REF-. | YES
9712829 | Pseudomonas | Salt | Gossypium hirsutum | Arabidopsis up to 200 mM NaCl -REF-, maize up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under salt stress upon inoculation with Pseudomonas spp. | YES
9712829 | Pseudomonas | Salt | Peanut | Arabidopsis up to 200 mM NaCl -REF-, maize up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under salt stress upon inoculation with Pseudomonas spp. | YES
9712829 | Pseudomonas | Salt | Hordeum vulgare | Arabidopsis up to 200 mM NaCl -REF-, maize up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under salt stress upon inoculation with Pseudomonas spp. | YES
8840115 | Enterobacter cloacae | Salt | Zea mays | In terms of growth, biomass, photosynthetic pigments chlorophyll a, b, and total chlorophyll, and carotenoid content, Enterobacter cloacae PM23 mitigated the detrimental effects of salinity stress in maize -REF- and -REF-. | YES
8234610 | Phyllobacterium brassicacearum | Drought | Arabidopsis thaliana | The application of Phyllobacterium brassicacearum strain STM196 to Arabidopsis thaliana improved its resistance to moderate water deficit stress by modulating the rate of transpiration and delaying maturity -REF-. | YES
6930159 | Marinobacter lipolyticus sm19 | Salt | Triticum aestivum | inaquosorum and Marinobacter lipolyticus SM19 reduced adverse effects of salinity and drought stresses in wheat. | YES
11465243 | Bacillus halotolerans | Salt | Triticum aestivum | For example, Bacillus paramycoides DT-85 and Bacillus licheniformis K11 were found to enhance drought tolerance in wheat and peppers, and Bacillus aryabhattai B8W22 and Bacillus halotolerans MSR-H4 improved salt stress tolerance in rice and wheat -REF-; -REF-; -REF-; -REF-. | YES
9030523 | Azospirillum brasilense | Drought | Cariniana estrellensis | 2020 showed that Azospirillum brasilense and Bacillus species could enhance the level of enzymatic ascorbate peroxidase and superoxide dismutase and non-enzymatic chlorogenic acid, gallic acid, rutin, and synapic acid compounds in the seedlings of two Neotropical tree species Cecropia pachystachya and Cariniana estrellensis to the end of mitigating drought stress -REF-. | YES
8869415 | Actinobacteria | Salt | Triticum aestivum | Actinobacteria have been reported to promote plant growth under salt stress in tomato -REF-, -REF-, -REF-, -REF-, soybean -REF-, -REF-, wheat -REF-, -REF-, alfalfa -REF-, and dwarf glasswort -REF-. | YES
8869415 | Actinobacteria | Salt | Salicornia europaea | Actinobacteria have been reported to promote plant growth under salt stress in tomato -REF-, -REF-, -REF-, -REF-, soybean -REF-, -REF-, wheat -REF-, -REF-, alfalfa -REF-, and dwarf glasswort -REF-. | YES
8869415 | Actinobacteria | Salt | Glycine max | Actinobacteria have been reported to promote plant growth under salt stress in tomato -REF-, -REF-, -REF-, -REF-, soybean -REF-, -REF-, wheat -REF-, -REF-, alfalfa -REF-, and dwarf glasswort -REF-. | YES
11284086 | Azospirillum lipoferum | Salt | Zea mays | Similarly, the application of Azospirillum lipoferum or Azotobacter chroococcum in Zea mays L under salinity enhanced K accumulation and provided salinity tolerance -REF-. | YES
7947814 | Azotobacter | Drought | Sunflower | -REF- noted an increase of resistance to water stress in sunflower plants treated with EPS produced by Azotobacter, probably due to their ability to improve soil structure in the rhizosphere. | YES
9885586 | Pseudomonas | Salt | Arabidopsis | Pseudomonas PS01 increased salt tolerance while up-regulating LOX2 a JA biosynthesis gene and down-regulating APX2 and GLY17 in Arabidopsis under high salt conditions -REF-. | YES
9712829 | Trichoderma asperelloides | Salt | Hordeum vulgare | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
8869415 | Dermacoccus abyssi | Salt | Solanum lycopersicum | Our results highlight that the inoculation of Dermacoccus abyssi MT1.1T could reduce the negative effects of salt stress in tomato seedlings by growth improvement, total soluble sugars accumulation and hydrogen peroxide reduction. | YES
9121094 | Pseudomonas anguilliseptica | Salt | Vicia faba | A previous study indicated that the formation of EPS and biofilms produced by the PGPR Pseudomonas anguilliseptica SAW 24 significantly improved the growth of Vicia faba L. under salt stress -REF-. | YES
8398416 | Streptomyces coelicolor | Drought | Triticum aestivum | -REF- demonstrated potential of endophytic bacterial strains Streptomyces coelicolor DE07, Streptomyces olivaceus DE10 and Streptomyces geysiriensis DE27, isolated from arid and drought affected regions, to increase tolerance of plants to intrinsic water stress and showed plant growth promotion after application to wheat seedlings. | YES
8760038 | Azospirillum lipoferum | Drought | Zea mays | -REF- reported that inoculation of maize with the endophyte Azospirillum lipoferum enhanced the production of ABA, IAA, and GA in host plants and further improved plant drought resistance. | YES
7933552 | Aspergillus aculeatus | Heat | Lolium perenne | Conclusion In summary, by using perennial ryegrass plants and mutualistic Aspergillus aculeatus, we provide the evidence for the fungal alleviatory effects to the adverse effects of drought and heat stress. | YES
10381829 | Trichoderma longibrachiatum | Drought | Pinus massoniana | The present results are consistent with these findings, and thus it was speculated that Trichoderma longibrachiatum might effectively enhance drought tolerance by regulating root development and stimulating nutrient metabolism in Pinus massoniana. | YES
8940538 | Tobamovirus | Drought | Nicotiana benthamiana | A plant virus, yellowtail flower mild mottle virus YTMMV, genus Tobamovirus, enhanced drought stress tolerance in Nicotiana benthamiana plants by modulating its metabolic compounds -REF-. | YES
10820157 | Rhizophagus irregularis | Salt | Populus | Conclusions AMF Rhizophagus irregularis effectively mitigated the deleterious effects of salt stress on the growth of poplar seedlings through multiple mechanisms. | YES
9775229 | Bacillus | Drought | Solanum lycopersicum | Among them, most used to be linked to Bacillus strains, as reported in Wang et al., 2019, where they described this characteristic as fundamental in Bacillus amyloliquefaciens to induce tomato tolerance to drought -REF-. | YES
7308537 | Achromobacter piechaudii | Drought | Pepper | In addition, the treatment of tomato and pepper plants with ACC-deaminase producing Achromobacter piechaudii stimulates plant growth during water stress, contributing to larger plant size -REF-. | YES
7411952 | Fusarium culmorum | Salt | Solanum lycopersicum | Similarly, the fungus Fusarium culmorum, isolated from the coastal dune grass Leymus mollis, confers salt tolerance ranging from 300–500 mM NaCl in tomato -REF-, while Penicillium minioluteum confers salinity stress resistance in soybeans Glycine max -REF-. | YES
8760038 | Paenibacillus polymyxa cr1 | Drought | Glycine max | According to the study of -REF-, inoculation of Arabidopsis and soybean with Paenibacillus polymyxa CR1 induced the expression of the drought-responsive genes Response to Desiccation 29A RD29A and Response to Desiccation 29B RD29B and improved drought resistance. | YES
10535095 | Bacillus thuringiensis | Salt | Zea mays | demonstrated that Bacillus thuringiensis PM25 ameliorates oxidative damage caused by salinity stress in maize by regulating growth, leaf pigments, the antioxidant defence system, and stress responsive gene expression. | YES
6930159 | Halomonas variabilis | Salt | Cicer arietinum | -REF- showed that EPS producing ST-PGPR Halomonas variabilis HT1 and Planococcus rifietoensis RT4 improved chickpea growth and stabilization of soil structure and aggregation under salinity. | YES
9030523 | Bacillus | Drought | Cecropia pachystachya | 2020 showed that Azospirillum brasilense and Bacillus species could enhance the level of enzymatic ascorbate peroxidase and superoxide dismutase and non-enzymatic chlorogenic acid, gallic acid, rutin, and synapic acid compounds in the seedlings of two Neotropical tree species Cecropia pachystachya and Cariniana estrellensis to the end of mitigating drought stress -REF-. | YES
11284086 | Variovorax paradoxus | Salt | Beta vulgaris | Additionally, multiple species of ACC deaminase producing halotolerant PGPMs with additional growth-promoting properties isolated from halophytes, Planococcus rifietoensis, Variovorax paradoxus, and Manglietia yunnanensis, have been shown to provide tolerance to salt stress in Beta vulgaris by reducing ET content -REF-. | YES
9634556 | Pseudomonas | Cold | Triticum aestivum | Likewise, increased cold tolerance was observed in wheat seedlings when treated with Pseudomonas sp. | YES
9121094 | Klebsiella oxytoca | Salt | Gossypium hirsutum | The bacterial strain Klebsiella oxytoca Rs-5 was screened from the salinized soil of cotton in Xinjiang Province and could relieve salt stress and promote cotton seedling growth -REF-. | YES
9600683 | Periconia macrospinosa | Drought | Triticum aestivum | -REF- reported that endophytic fungi Neocamarosporium goegapense, Neocamarosporium chichastianum, and Periconia macrospinosa isolated from a desert plant alleviated drought stress in wheat and cucumber by boosting antioxidant defense enzymes. | YES
9121094 | Bacillus atrophaeus | Salt | Zea mays | In this study, inoculating two strains, Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02, significantly reduced the level of Na+ and upregulated the expression of ZmNHX and ZmHKT genes in maize under salt stress, indicating that inoculated strains might reduce the content of Na+ in maize by isolating Na+ into vacuoles and excreting Na+ from cells to improve Na+ toxicity and salt tolerance -REF-. | YES
8869415 | Dermacoccus abyssi | Salt | Solanum lycopersicum | Both experimental and genome analysis data suggested that Dermacoccus abyssi MT1.1T reduced oxidative damage from salt stress in tomato seedlings by H2O2 scavenging ability via both enzymatic catalase and non-enzymatic glutathionylspermidine antioxidative system. | YES
11465243 | Bacillus velezensis | Drought | Oryza sativa | These results indicate that ROS accumulation plays a crucial role in plant tolerance to abiotic stresses and support our finding that Bacillus velezensis GH1-13 enhances drought stress tolerance in rice by activating the expression of ROS-scavenging genes and suppressing the accumulation of ROS. | YES
8891170 | Aspergillus terreus | Salt | Oryza sativa | The application of Aspergillus terreus mitigates salt-related consequences in plants, which results in considerable increases in growth, biomass production up to 30% in maize; 25% in rice, and RWC 11% maize; 14% rice under saline conditions -REF-. | YES
7118072 | Penicillium chrysogenum | Salt | Solanum lycopersicum | We can, therefore, conclude that the two endophytes Penicillium brevicompactum and Penicillium chrysogenum mitigated salt stress in lettuce and tomato, provoking an efficient gain of carbon through a higher photosynthetic energy production and controlling the negative effect of sodium ions, likely by sequestration in vacuoles. | YES
10623132 | Pseudomonas simiae | Drought | Glycine max | When inoculated into Glycine max, the Pseudomonas simiae strain AU mitigates drought stress by producing phytohormones, particularly SA, and upregulating the Tf of DREB, osmoprotactans, and water transporter genes -REF-. | YES
8398416 | Bacillus subtilis | Drought | Brachypodium distachyon | In the grass Brachypodium distachyon, drought stress was mitigated with the help of an endophytic bacterium Bacillus subtilis B26, which also upregulated the stress responsive genes -REF-. | YES
10702945 | Rhizobium tropici | Salt | Bean | For instance, rhizobacteria such as Rhizobium tropici CIAT 899 have been used with the bean Phaseolus vulgaris as a model system to demonstrate that rhizobacteria delivered to the soil after coating dissolution are able to infect seedling roots, form root nodules, enhance yields, boost germination, and mitigate the effects of soil salinity -REF-. | YES
8840115 | Enterobacter cloacae | Salt | Zea mays | The strain Enterobacter cloacae PM23 showed a promising role in mitigating salinity stress by modulating the antioxidant defensive system, reducing oxidative stress markers, and accumulating soluble and compatible solutes in maize plants. | YES
8891170 | Aspergillus terreus | Salt | Zea mays | The application of Aspergillus terreus mitigates salt-related consequences in plants, which results in considerable increases in growth, biomass production up to 30% in maize; 25% in rice, and RWC 11% maize; 14% rice under saline conditions -REF-. | YES
9121094 | Pseudomonas putida | Salt | Gossypium hirsutum | Pseudomonas putida Rs-198 isolated from a cotton alkaline soil in Xinjiang mitigated osmotic stress in cotton seedlings, which led to an improved germination rate, healthy stands, and growth parameters -REF-. | YES
8472176 | Pseudomonas putida | Drought | Glycine max | Pseudomonas putida H-2-3 mitigated the drought and salinity stress effects on soybean by GA production ability. | YES
10548211 | Pseudomonas | Salt | Glycine max | It has been observed that Bacillus, Pseudomonas, and Rhizobacteria mitigate the negative effects of salt stress in soybean -REF-; -REF-; -REF-. | YES
10785826 | Azospirillum brasilense | Salt | Oryza sativa | We selected the higher concentration, 200 mM, of NaCl treatment as we observed that Azospirillum brasilense could mitigate salt stress in rice even at this concentration. | YES
10890545 | Lysinibacillus fusiformis | Drought | Glycine max | A previous study reported that treatment with Lysinibacillus fusiformis L. PLT16 mitigated drought stress in soybean plants -REF-. | YES
8840115 | Bacillus polymyxa | Salt | Zea mays | Egamberdiyeva -REF- found that Plant growth-promoting bacteria Bacillus polymyxa BcP26 can mitigate salt stress and nutrient acquisition of maize in calcisol soil, so effectively help in alleviating salt stress. | YES
9030523 | Azospirillum brasilense | Drought | Cecropia pachystachya | 2020 showed that Azospirillum brasilense and Bacillus species could enhance the level of enzymatic ascorbate peroxidase and superoxide dismutase and non-enzymatic chlorogenic acid, gallic acid, rutin, and synapic acid compounds in the seedlings of two Neotropical tree species Cecropia pachystachya and Cariniana estrellensis to the end of mitigating drought stress -REF-. | YES
8869415 | Desulfosoma profundi | Salt | Solanum lycopersicum | from two saline sites in the northeast region of Algeria promoted the growth of wheat under 0.25 to 1 M NaCl -REF-; and Dermacoccus barathri MT2.1T and Desulfosoma profundi MT2.2T from deep-sea sediments mitigated salt stress in tomato seedlings under 150 mM NaCl -REF-. | YES
7923115 | Azospirillum brasilense | Drought | Arabidopsis thaliana | ABA-producing bacteria, such as Azospirillum brasilense, were shown to mitigate drought stress in Arabidopsis thaliana by enhancing plant ABA content -REF-. | YES
7118072 | Penicillium brevicompactum | Salt | Lettuce | We can, therefore, conclude that the two endophytes Penicillium brevicompactum and Penicillium chrysogenum mitigated salt stress in lettuce and tomato, provoking an efficient gain of carbon through a higher photosynthetic energy production and controlling the negative effect of sodium ions, likely by sequestration in vacuoles. | YES
8773105 | Azotobacter | Salt | Triticum aestivum | Furthermore, inoculation of Azotobacter strains increased K+ uptake and exclusion of Na+, which mitigated the negative impact of salinity stress in wheat, ensuring increased biomass and grain yield -REF-. | YES
9121094 | Planococcus soli | Salt | Zea mays | In conclusion, this study showed that Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 could be used as eco-friendly PGPR based on their potential in promoting and protecting maize plant growth under saline conditions. | YES
9309559 | Variovorax paradoxus | Salt | Cucumis sativus | -REF- reported that rhizospheric bacterial species Variovorax paradoxus JN858091, Pseudomonas fluorescens JN858088, and B. megeterium JN858098 have potential PGP attributes such as siderophore production, phosphate solubilization, exopolysaccharides production, indole acetic acid production, and ACC deaminase activity under both saline and normal conditions that alleviate the negative impacts of salinity and enhance the nutrients uptake for plant growth in cucumber plants. | YES
9121094 | Bacillus atrophaeus | Salt | Zea mays | In conclusion, this study showed that Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 could be used as eco-friendly PGPR based on their potential in promoting and protecting maize plant growth under saline conditions. | YES
7646561 | Bacillus subtilis | Salt | Acacia gerrardii | The application of Bacillus subtilis BERA 71 turned out to be potentially beneficial in ameliorating the deleterious impact of salinity and drought in Acacia gerrardii -REF-. | YES
9712829 | Trichoderma asperelloides | Salt | Cucumis sativus | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
10453936 | Enterobacter | Drought | Vitis vinifera | developed SynCom using Bacillus, Acinetobacter, Sphingobacterium, Delftia and Enterobacter for grapes, which not only protect plants during drought, but promote growth and yield -REF-. | YES
9712829 | Trichoderma afroharzianum | Salt | Hordeum vulgare | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
8840115 | Bacillus aquimaris | Salt | Triticum aestivum | In wheat, inoculation with Bacillus aquimaris tolerates salt stress and promotes plant growth -REF-. | YES
9712829 | Trichoderma atroviride | Salt | Triticum aestivum | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9121094 | Pseudomonas | Salt | Pepper | -REF- indicated that Pseudomonas SCPG-7 inoculated from pepper Capsicum annuum L. seeds had the ability to promote plant growth by secreting organic acids, alkaline phosphatase, siderophore, and IAA under salt stress in Shihezi, Xinjiang Province. | YES
9885204 | Gibberella | Drought | Triticum aestivum | Some Gibberella could colonize wheat roots and significantly promote plant growth under water stress -REF-. | YES
9658302 | Arthrobacter nicotianae | Salt | Canola | Halotolerant actinobacteria such as Micrococcus yunnanensis, Corynebacterium variabile, and Arthrobacter nicotianae exhibited ACC deaminase activity that significantly promoted the growth of Canola plants under salt stress -REF-. | YES
9706007 | Halomonas variabilis | Salt | Cicer arietinum | Qurashi and Sabri -REF- demonstrated that the EPS-producing salt-tolerant plant growth-promoting rhizosphere strains, Planococcus rifietoensis RT4 and Halomonas variabilis HT1, could stabilize soil structure and promote soil aggregation under high salinity conditions, which had a positive effect on growth of chickpea plant. | YES
9712829 | Trichoderma afroharzianum | Salt | Triticum aestivum | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
8072474 | Pseudomonas simiae | Drought | Glycine max | Pseudomonas simiae promoted growth and protected soybean plants from damage from drought stress, mainly manifested as changes in the gene expression profiles of drought stress-responsive genes such as DREB2A, EREB, GOLS and P5CS, and secondarily as modulation of phytohormonal signaling altered | YES
6930159 | Methylobacterium oryzae cbmb20 | Salt | Solanum lycopersicum | For example, chitosan-immobilized aggregated Methylobacterium oryzae CBMB20 has been used as a bioinoculant to promote growth of tomato under salt stress conditions -REF-. | YES
9712829 | Trichoderma asperelloides | Salt | Triticum aestivum | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9198640 | Fusarium oxysporum | Salt | Festuca | Fusarium oxysporum, the most abundant component of the Festuca root microbiome, promoted the growth of its host plant under salinity, but in contrast to Periconia and Diaporthe, the Na+ content was significantly reduced in inoculated plants, and K+ remained unchanged. | YES
11465243 | Bacillus velezensis | Drought | Oryza sativa | Together with the result that jasmonic acid treatment promotes the expression of antioxidant genes, these findings indicate that Bacillus velezensis GH1-13 improves drought tolerance in rice by reducing ROS accumulation and suggest that activation of the jasmonic acid response is deeply involved in this process. | YES
9885586 | Bacillus amyloliquefaciens fzb42 | Salt | Arabidopsis | Bacillus amyloliquefaciens FZB42 volatile compounds promoted salt tolerance through up-regulation of POD, CAT, SOD and JA synthesis in Arabidopsis -REF-. | YES
11176432 | Enterobacter cancerogenus | Salt | Oryza sativa | The Enterobacter cancerogenus JY65 isolated from extremely desert saline-lkali soil promotes the growth of rice under salt stress by producing IAA -REF-. | YES
9712829 | Trichoderma asperelloides | Salt | Arabidopsis | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
11176432 | Bacillaceae | Salt | Reaumuria | The results indicate that inoculation with Bacillaceae can promote the growth of Reaumuria soongorica seedlings under NaCl stress and enhance salt tolerance by increasing the content of photosynthetic pigments, accumulating osmoregulatory substances, regulating plant hormone levels This study contributes to the enrichment of PGPR strains capable of promoting the growth of desert plants and has significant implications for the psammophytes growth and development in desert regions, as well as the effective utilization and transformation of saline-alkali lands. | YES
7380250 | Enterobacter cloacae | Salt | Triticum aestivum | Our study demonstrated that the inoculation of wheat with Enterobacter cloacae HG-1 could promote the growth of wheat under salt stress and increase salt stress tolerance. | YES
9818225 | Pseudomonas fluorescens | Salt | Solanum lycopersicum | Similarly, endophytic Pseudomonas migulae 8R6 and Pseudomonas fluorescens YsS6, with ACC-deaminase promoted the growth of tomato plants under salt stress -REF-. | YES
9712829 | Trichoderma harzianum | Salt | Arabidopsis | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Trichoderma atroviride | Salt | Hordeum vulgare | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Trichoderma longibrachiatum | Salt | Cucumis sativus | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Trichoderma afroharzianum | Salt | Cucumis sativus | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
11176432 | Bacillus | Salt | Triticum aestivum | Salt-tolerant Bacillus KKD1 alleviates salt stress in wheat by regulating osmotic balance and ion homeostasis to protect plant growth -REF-. | YES
10531026 | Bradyrhizobium japonicum | Salt | Arabidopsis | The use of the Bradyrhizobium japonicum strain has been reported to activate JA signaling, priming Arabidopsis for improved salt stress tolerance -REF-. | YES
9818225 | Pseudomonas stutzeri | Salt | Oryza sativa | Similarly, rice seedlings inoculated with Pseudomonas stutzeri A1501 alleviated heavy metals and salt stress. | YES
9495777 | Streptomyces pactum | Drought | Triticum aestivum | -REF- have revealed that Streptomyces pactum increased the leaf ABA content and upregulated the drought stress resistance gene expression such as EXPA2, EXPA6, P5CS, and SnRK2, thereby reducing the effects of drought stress in Triticum aestivum plants. | YES
8226221 | Planococcus rifietoensis | Salt | Peanut | IAA-producing, salt-tolerant Planococcus rifietoensis, Brachybacterium, and Haererohalobacter enhance the growth and yields of wheat and peanut plants under salinity stress Shukla et al., -REF-; Desale et al., -REF-; Zhou et al., -REF-. | YES
9495777 | Pseudomonas fluorescens | Drought | Hyoscyamus niger | -REF- have revealed that the inoculation of Hyoscyamus niger plants with rhizobacterial strains Pseudomonas fluorescens and Pseudomonas putida remarkably improved the production of tropane alkaloid in plants under water deficit stress, resulting in contributing to their stress resistance. | YES
8891170 | Aspergillus terreus | Salt | Oryza sativa | Higher chlorophyll content a and b as well as carotenoids in rice and maize plans colonized with Aspergillus terreus spell out the induction of salt tolerance in the chloroplast by endophyte inoculation -REF-. | YES
