9694901 | Rhizobium | High temperature | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
10671349 | Bacillus amyloliquefaciens FZB42 | drought | Arabidopsis | -REF- investigated Bacillus amyloliquefaciens FZB42’s role in enhancing drought tolerance in Arabidopsis. | NO
7550623 | Pseudomonas chlororaphis 30-84 | salt | wheat | Discussion This study demonstrated that the four wheat varieties examined responded differently to the salt stress treatment and the benefits derived from colonization by Pseudomonas chlororaphis 30-84. | NO
7550623 | Pseudomonas chlororaphis | salt | wheat | Discussion This study demonstrated that the four wheat varieties examined responded differently to the salt stress treatment and the benefits derived from colonization by Pseudomonas chlororaphis 30-84. | NO
8229731 | Azospirillum baldaniorum | water stress | basil | Effects of Treatment with Azospirillum baldaniorum Sp245 on Photosynthesis and WUE In order to understand the effects of bacterial treatments on the photosynthetic performance of purple basil under well-watered conditions and during water stress, gas exchange and chlorophyll fluorescence were monitored throughout the experimental trial. | NO
7820118 | Streptococcus sciuri | salinity | Tomato | Streptococcus sciuri Modulates Photosynthetic Responses in Tomato and Rice Plants Subjected to Salinity Stress A decline in net photosynthesis rate during salinity stress is due to lower intracellular CO2 levels due to stomatal closure. | NO
9428627 | Glomus | drought-stressed | foxtail millet | Similar observations were noticed for MDA content in drought-stressed foxtail millet inoculated with Glomus -REF-, as well as in Solanum lycopersicum and cucumber treated with various Bacillus strains under drought conditions -REF-; -REF-. | NO
9923114 | Bacillus safensis | heat | wheat | Similarly, modulation in expression of heat shock proteins HSPs was noticed in wheat seeds primed with Bacillus safensis. | NO
10436337 | Botrytis cinerea | salinity | tomato | tomato DC3000 PstDC3000 and the necrotrophic fungus Botrytis cinerea, by controlling SA and JA levels, as a negative regulator in response to salinity stress and for drought stress resistance responses via ABA and NO regulation Pham and Desikan, -REF-. | NO
10681223 | Metarhizium robertsii | water stress | maize | Here we report the results of a greenhouse experiment to compare the effects of the interaction of endophytic colonization and deficit, adequate, and excess soil moisture on the response of maize, Zea mays L. We hypothesized that plants subjected to water deficit or excess and colonized by Metarhizium robertsii will have greater height, biomass, and chlorophyll content than non-colonized plants subjected to water stress. | NO
8003591 | Pseudomonas | salt | wheat | -REF- where the salt tolerant wheat genotype Aas-11 responded positively to Bacillus pumilus and Exiguobacterium aurantiacum, whereas the salt sensitive wheat genotype Galaxy-13 responded better to Pseudomonas fluorescence. | NO
9885586 | Burkholderia phytofirmans PsJN | salt | Arabidopsis | Pinedo and coworkers found that Burkholderia phytofirmans PsJN differentially induced transcriptomic changes in Arabidopsis RD29A, RD29B, APX2, GLY17, PDF1.2 and LOX2 over time, especially in roots, under salt stress -REF-. | NO
10785826 | Azospirillum brasilense | salt | rice | These observations suggest that auxin-related genes specific to salt and Azospirillum brasilense treatments affect the rice transcriptome and mediate the plant’s responses and adaptations. | NO
9152913 | Actinomycetes | salt | Phragmites | Actinomycetes from rhizosphere soil of Phragmites were supposed to be salt and alkali tolerant and beneficial plant growth-promoting rhizobacteria. | NO
10986097 | Nostoc muscorum | drought | Chlorella vulgaris | Biostimulants, especially those sourced from algal origins, reinforce plant robustness against abiotic challenges such as salinity -REF- and drought -REF- by Nostoc muscorum and Chlorella vulgaris extracts -REF-, -REF- while Spirulina platensis act as plant biostimulants due to its rich nutrient profile and stress-mitigating properties -REF-, -REF-. | NO
7820118 | Streptococcus sciuri | salinity | rice | The alteration in the apparent RuBisCO activity by the inoculation of Streptococcus sciuri ET101 in tomato and rice plants can provide novel insights in the plant–microbe interaction mechanisms during salinity stress. | NO
8869415 | Desulfosoma profundi | salt | tomato | Previously, the inoculation of other Dermacoccus strains, Dermacoccus barathri MT2.1T and Desulfosoma profundi MT2.2T, did not result in an increase in total soluble sugar in tomato seedlings under salt stress -REF-. | NO
7917748 | Bradyrhizobium | salt | maize | It has a capacity to induce tolerance against drought in maize -REF- and rice -REF-.Bradyrhizobium can alleviate salt stress, promoting symbiosis in soybean -REF-. | NO
10326438 | Pseudomonas | salinity | soybean | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions -REF-, -REF-; -REF-; -REF-. | NO
10326438 | Pseudomonas guariconensis | osmotic stress | chickpea | However, another Pseudomonas strain, Pseudomonas guariconensis MTCC5279 formerly called Pseudomonas putida MTCC5279, was shown to affect the regulation of antioxidant enzyme genes in chickpea during and following osmotic stress -REF-. | NO
9706007 | Marinobacter lipolyticus | drought | wheat | inaquosorum and Marinobacter lipolyticus SM19 T on increasing plant resistance to salt and drought stresses by decreasing Na+ uptake and increasing the dry weight of root in wheat. | NO
8775878 | Trichoderma asperellum | drought | rice | Under drought conditions, these were over-expressed in rice plants after inoculation with Trichoderma asperellum. | NO
8082249 | Trichoderma asperellum | drought-stressed | sugarcane | Leaf Sugar Fractions Reducing sugar concentration increased p &lt; 0.01 in drought-stressed plants, but sugarcane inoculated with Trichoderma asperellum reduced this value by 38% compared with non-inoculated plants -REF- and -REF-. | NO
8614786 | Pseudomonas | drought | Petroselinum sativum | Similarly, drought stress had no influence on growth, seed yield, and ripening of Petroselinum sativum in both pot and field studies when ACC deaminase-producing Pseudomonas spp. | NO
9885586 | Bradyrhizobium japonicum | salt | Arabidopsis | Bradyrhizobium japonicum IRAT FA3 affects Arabidopsis shoot and root growth under salt stress Experimental parameters were determined using wild type, Col-0, Arabidopsis seedlings grown on agar plates with and without additional sodium chloride NaCl, salt Supplementary Fig. | NO
10326438 | Pseudomonas | salinity | lettuce | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions -REF-, -REF-; -REF-; -REF-. | NO
8472176 | Raoultella planticola | drought | Arabidopsis | Maize inoculated with Klebsiella variicola F2, Pseudomonas fluorescens YX2, and Raoultella planticola YL2 and Arabidopsis inoculated Bazzania subtilis GB03 due to choline accumulation, as a precursor of glycine-betaine increased water content, thus enhancing drought tolerance of this plant -REF-, -REF-. | NO
9393590 | actinobacteria | salt | tomato | Then, the potential of this actinobacteria to relieve induced salt stress during germination and plant growth was explored based on the assumption that the HAHS Schoenus arenicola may possess specific activities that could alleviate salt stress in tomato plants. | NO
11322345 | Epichloe gansuensis | salt | Achnatherum inebrians | For instance, -REF- reported significant gene alterations in the leaves of Achnatherum inebrians under salt stress induced by the fungus Epichloe gansuensis. | NO
8071382 | Rhizophagus intraradices | salt | citrus | Similar results were obtained from R. versiforme inoculation during drought -REF- and Rhizophagus intraradices inoculation under salt stress salinity -REF-, show similar consistent results for leaves and roots of citrus seedlings. | NO
11036750 | Azospirillum brasilense | drought | wheat | Enzymatic activities that are essential for metabolic processes are impacted when wheat grows using biochar containing t-ZR and biochar containing Azospirillum brasilense during drought -REF-. | NO
10383602 | Bacillus | Drought-stressed | wheat | Drought-stressed wheat plants inoculated by drought-tolerant Bacillus spp. | NO
10785826 | Azospirillum | salt | rice | Interestingly, both transporters were also upregulated in expression in the Azospirillum brasilense-treated salt-stressed rice plants, while showing no differential expression in rice roots treated only with salt. | NO
7820118 | Streptococcus sciuri | salinity | Rice | Streptococcus sciuri Modulates Photosynthetic Responses in Tomato and Rice Plants Subjected to Salinity Stress A decline in net photosynthesis rate during salinity stress is due to lower intracellular CO2 levels due to stomatal closure. | NO
9610570 | Bacillus | drought | Abelmoschus esculentus | Similarly, the Bacillus inoculants Abelmoschus esculentus plants showed elevated MDHAR activity under drought stress -REF-. | NO
10275368 | Pseudomonas knackmussii | salinity | Arabidopsis | Previous reports have also shown the same results in Arabidopsis plants treated with Pseudomonas knackmussii MLR6 under salinity stress. | NO
10785826 | Azospirillum | salt-stressed | rice | However, it was interesting to observe none of these genes were expressed in Azospirillum brasilense-treated salt-stressed rice. | NO
9878403 | Bacillus pumilus | salt-stressed | cotton | A transcriptomic study of salt-stressed cotton plant inoculated with Bazzania subtilis and Bacillus pumilus exhibited 556 481 upregulated and 75 downregulated and 943 536 upregulated and 407 downregulated differentially expressed genes DEGs, respectively. | NO
9428627 | Bacillus | drought | maize | Simultaneous treatment of maize with drought and Bacillus sp. | NO
7411952 | Ampelomyces | Drought | Tomato | for Tomato Drought Tolerance Ampelomyces sp. | NO
10823023 | Pseudomonas chlororaphis | water stress | Arabis thaliana | Conversely, in Arabis thaliana inoculated with Pseudomonas chlororaphis during water stress, MYB genes were downregulated -REF-. | NO
10366173 | Microbacterium oryzae | thermotolerance | rice | oryzae Xoo and fungal Magnaporthe oryzae Microbacterium oryzae, but positively modulates thermotolerance in rice. | NO
8076752 | Trichoderma | drought-stressed | rice | Furthermore, comparative analysis of upregulated and downregulated genes under stressed conditions showed that 1,053 genes 42% were upregulated and 733 genes 29% were downregulated in Trichoderma harzianum-treated drought-stressed rice plants. | NO
11379202 | Endophytic bacterium | cold | potato | Endophytic bacterium Serratia plymuthica A30 was identified as a superior biocontrol agent due to its effective colonization of potato tuber, tolerance to cold conditions, and strong inhibitory action against various soft rot pathogens, including Dickeya solani. | NO
8891170 | Aspergillus terreus | salinity | maize | Same letters denoted on bar graphs show non-significant differences p &lt; 0.05 within a treatment Capital letters for Aspergillus terreus, small letters without Aspergillus terreus, only salinity, * denotes significant differences, and ns denotes non-significant among the treatments with and without P. Effect of Aspergillus terreus seed treatments on relative water content and biomass accumulation of maize Zea mays L. var. | NO
8924888 | Arthrobacter agilis | salt | Kallymenia rosea | Z. dumosum Petioles Have Increased Levels of Nutrients during the Dry Season We assumed that the endophytes Kallymenia rosea and Arthrobacter agilis produce a relatively high level of the osmoprotectants trehalose and proline in response to abiotic stress, most likely because of the high salt concentration they encounter in the internal tissues of the petiole throughout the year. | NO
7820118 | Streptococcus sciuri | salinity | tomato | The alteration in the apparent RuBisCO activity by the inoculation of Streptococcus sciuri ET101 in tomato and rice plants can provide novel insights in the plant–microbe interaction mechanisms during salinity stress. | NO
10326438 | Pseudomonas | salinity | Chinese cabbage | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions -REF-, -REF-; -REF-; -REF-. | NO
10326438 | Pseudomonas | salinity | Arabis thaliana | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions -REF-, -REF-; -REF-; -REF-. | NO
10326438 | Pseudomonas | drought | Arabis thaliana | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions -REF-, -REF-; -REF-; -REF-. | NO
10326438 | Pseudomonas | drought | lettuce | Analytical approaches allowed to accurately detect different bioactive gibberellins in Pseudomonas strains that were able to promote the growth of soybean, Arabis thaliana, lettuce, and Chinese cabbage, in some cases under high salinity and drought conditions -REF-, -REF-; -REF-; -REF-. | NO
10374332 | Pseudomonas | heat | pigeon pea | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas | heat | wheat | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus tequilensis | heat | tomato | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Serratia liquefaciens | heat | pigeon pea | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Serratia liquefaciens | heat | tomato | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas fluorescens | heat | tomato | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas fluorescens | heat | wheat | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | heat | pigeon pea | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | heat | pigeon pea | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | heat | soybean | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | heat | wheat | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus tequilensis | heat | pigeon pea | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | heat | tomato | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Serratia liquefaciens | heat | wheat | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Serratia liquefaciens | heat | soybean | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas fluorescens | heat | pigeon pea | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus tequilensis | heat | wheat | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas fluorescens | heat | soybean | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | heat | tomato | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | heat | wheat | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | heat | soybean | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas | heat | tomato | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas | heat | soybean | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus tequilensis | heat | soybean | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
9296610 | Klebsiella | saline conditions | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | saline conditions | alfalfa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | saline conditions | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | saline conditions | arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Bacillus | saline conditions | wheat | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | saline conditions | alfalfa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Ochrobactrum | saline conditions | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | saline conditions | arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | saline conditions | tomato | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | saline conditions | rice | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | saline conditions | tomato | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | saline conditions | alfalfa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | saline conditions | rice | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | saline conditions | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Ochrobactrum | saline conditions | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | saline conditions | tomato | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | saline conditions | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | saline conditions | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | saline conditions | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | saline conditions | rice | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | saline conditions | rice | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | saline conditions | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | saline conditions | arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Bacillus | saline conditions | alfalfa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | saline conditions | tomato | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | saline conditions | arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | saline conditions | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
